time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/reward,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl
18,3271,36864,11,-0.00040724978,970,-1.1920928955078125e-07,-0.0002311140051460825,1.0702528953552246,0.2,-1.4848511457443236,-0.0061960769817233086,0.003722994890995324,0.002001953125,0.0001,0.0030259544
19,3269,38912,11,0.00021974616,980,-1.1920928955078125e-07,-0.00035846649116137995,1.0697355270385742,0.2,-1.48689406812191,-0.007850301451981068,0.004834606297663413,0.002587890625,0.0001,0.0034955868
20,3265,40960,12,0.0027839828,990,-2.384185791015625e-07,-0.003958320108358749,1.0638397932052612,0.2,-1.4838063403964044,-0.029675595462322235,0.004495446136570535,0.051171875,0.0001,0.006082621
21,3259,43008,13,-0.0011204601,1000,0.0,-0.0007359326526056975,1.0565510988235474,0.2,-1.4775472059845924,-0.01468724850565195,0.002329762912995648,0.006103515625,0.0001,0.0030924336
22,3257,45056,13,0.00048184712,1010,1.7881393432617188e-07,-0.0014189599474775604,1.0592241287231445,0.2,-1.474954442679882,-0.024344125762581825,0.0017298646198469214,0.016748046875,0.0001,0.0041242437
23,3268,47104,14,-0.00040966342,1020,0.0,4.128422006033361e-06,1.0633447170257568,0.2,-1.4783586412668228,-0.014506093226373196,0.0018020709147094748,0.0,0.0001,2.9950286e-05
24,3268,49152,15,0.020040005,1030,1.7881393432617188e-07,-0.0006870200100820512,1.0608325004577637,0.2,-1.479424586892128,-0.01059617567807436,0.0014625719923060387,0.0080078125,0.0001,0.004512931
25,3268,51200,15,0.008130358,1040,0.0,-6.775837682653219e-05,1.0672178268432617,0.2,-1.480514730513096,-0.013683993369340897,0.0020634631073335186,0.0,0.0001,0.00014767717
26,3235,53248,16,-0.00450372,1050,0.0,-0.002148134884191677,1.0679186582565308,0.2,-1.4850014269351959,-0.022898925468325615,0.002465494388889056,0.022314453125,0.0001,0.0042074346
27,3235,55296,17,0.0027704253,1060,-1.1920928955078125e-07,-0.0007511462405091152,1.0667569637298584,0.2,-1.4840766564011574,-0.006573200225830078,0.0015678457522881218,0.009130859375,0.0001,0.0042061177
28,3233,57344,17,0.070298724,1070,0.0,-0.0008481650453177281,1.0654352903366089,0.2,-1.483019295334816,-0.020096175372600555,0.000930545199662447,0.0103515625,0.0001,0.004693291
29,3232,59392,18,0.00043898038,1080,0.0,-0.0006792907894123346,1.0660006999969482,0.2,-1.4828137099742889,-0.013006730005145073,0.0007898303720139666,0.00517578125,0.0001,0.0031227274
