,date,actions
736,2016-09-22,[0]
737,2016-09-23,[0]
738,2016-09-24,[0]
739,2016-09-25,[0]
740,2016-09-26,[0]
741,2016-09-27,[0]
742,2016-09-28,[0]
743,2016-09-29,[0]
744,2016-09-30,[0]
745,2016-10-01,[0]
746,2016-10-02,[0]
747,2016-10-03,[0]
748,2016-10-04,[0]
749,2016-10-05,[0]
750,2016-10-06,[0]
751,2016-10-07,[0]
752,2016-10-08,[0]
753,2016-10-09,[0]
754,2016-10-10,[0]
755,2016-10-11,[0]
756,2016-10-12,[0]
757,2016-10-13,[0]
758,2016-10-14,[0]
759,2016-10-15,[0]
760,2016-10-16,[0]
761,2016-10-17,[0]
762,2016-10-18,[0]
763,2016-10-19,[0]
764,2016-10-20,[0]
765,2016-10-21,[0]
766,2016-10-22,[0]
767,2016-10-23,[0]
768,2016-10-24,[0]
769,2016-10-25,[0]
770,2016-10-26,[0]
771,2016-10-27,[0]
772,2016-10-28,[0]
773,2016-10-29,[0]
774,2016-10-30,[0]
775,2016-10-31,[0]
776,2016-11-01,[0]
777,2016-11-02,[0]
778,2016-11-03,[0]
779,2016-11-04,[0]
780,2016-11-05,[0]
781,2016-11-06,[0]
782,2016-11-07,[0]
783,2016-11-08,[0]
784,2016-11-09,[0]
785,2016-11-10,[0]
786,2016-11-11,[0]
787,2016-11-12,[0]
788,2016-11-13,[0]
789,2016-11-14,[0]
790,2016-11-15,[0]
791,2016-11-16,[0]
792,2016-11-17,[0]
793,2016-11-18,[0]
794,2016-11-19,[0]
795,2016-11-20,[0]
796,2016-11-21,[0]
797,2016-11-22,[0]
798,2016-11-23,[0]
799,2016-11-24,[0]
800,2016-11-25,[0]
801,2016-11-26,[0]
802,2016-11-27,[0]
803,2016-11-28,[0]
804,2016-11-29,[0]
805,2016-11-30,[0]
806,2016-12-01,[0]
807,2016-12-02,[0]
808,2016-12-03,[0]
809,2016-12-04,[0]
810,2016-12-05,[0]
811,2016-12-06,[0]
812,2016-12-07,[0]
813,2016-12-08,[0]
814,2016-12-09,[0]
815,2016-12-10,[0]
816,2016-12-11,[0]
817,2016-12-12,[0]
818,2016-12-13,[0]
819,2016-12-14,[0]
820,2016-12-15,[0]
821,2016-12-16,[0]
822,2016-12-17,[0]
823,2016-12-18,[0]
824,2016-12-19,[0]
825,2016-12-20,[0]
826,2016-12-21,[0]
827,2016-12-22,[0]
828,2016-12-23,[0]
829,2016-12-24,[0]
830,2016-12-25,[0]
831,2016-12-26,[0]
832,2016-12-27,[0]
833,2016-12-28,[0]
834,2016-12-29,[0]
835,2016-12-30,[0]
836,2016-12-31,[0]
837,2017-01-01,[0]
838,2017-01-02,[0]
839,2017-01-03,[0]
840,2017-01-04,[0]
841,2017-01-05,[0]
842,2017-01-06,[0]
843,2017-01-07,[0]
844,2017-01-08,[0]
845,2017-01-09,[0]
846,2017-01-10,[0]
847,2017-01-11,[0]
848,2017-01-12,[0]
849,2017-01-13,[0]
850,2017-01-14,[0]
851,2017-01-15,[0]
852,2017-01-16,[0]
853,2017-01-17,[0]
854,2017-01-18,[0]
855,2017-01-19,[0]
856,2017-01-20,[0]
857,2017-01-21,[0]
858,2017-01-22,[0]
859,2017-01-23,[0]
860,2017-01-24,[0]
861,2017-01-25,[0]
862,2017-01-26,[0]
863,2017-01-27,[0]
864,2017-01-28,[0]
865,2017-01-29,[0]
866,2017-01-30,[0]
867,2017-01-31,[0]
868,2017-02-01,[0]
869,2017-02-02,[0]
870,2017-02-03,[0]
871,2017-02-04,[0]
872,2017-02-05,[0]
873,2017-02-06,[0]
874,2017-02-07,[0]
875,2017-02-08,[0]
876,2017-02-09,[0]
877,2017-02-10,[0]
878,2017-02-11,[0]
879,2017-02-12,[0]
880,2017-02-13,[0]
881,2017-02-14,[0]
882,2017-02-15,[0]
883,2017-02-16,[0]
884,2017-02-17,[0]
885,2017-02-18,[0]
886,2017-02-19,[0]
887,2017-02-20,[0]
888,2017-02-21,[0]
889,2017-02-22,[0]
890,2017-02-23,[0]
891,2017-02-24,[0]
892,2017-02-25,[0]
893,2017-02-26,[0]
894,2017-02-27,[0]
895,2017-02-28,[0]
896,2017-03-01,[0]
897,2017-03-02,[0]
898,2017-03-03,[0]
899,2017-03-04,[0]
900,2017-03-05,[0]
901,2017-03-06,[0]
902,2017-03-07,[0]
903,2017-03-08,[0]
904,2017-03-09,[0]
905,2017-03-10,[0]
906,2017-03-11,[0]
907,2017-03-12,[0]
908,2017-03-13,[0]
909,2017-03-14,[0]
910,2017-03-15,[0]
911,2017-03-16,[0]
912,2017-03-17,[0]
913,2017-03-18,[0]
914,2017-03-19,[0]
915,2017-03-20,[0]
916,2017-03-21,[0]
917,2017-03-22,[0]
918,2017-03-23,[0]
919,2017-03-24,[0]
920,2017-03-25,[0]
921,2017-03-26,[0]
922,2017-03-27,[0]
923,2017-03-28,[0]
924,2017-03-29,[0]
925,2017-03-30,[0]
926,2017-03-31,[0]
927,2017-04-01,[0]
928,2017-04-02,[0]
929,2017-04-03,[0]
930,2017-04-04,[0]
931,2017-04-05,[0]
932,2017-04-06,[0]
933,2017-04-07,[0]
934,2017-04-08,[0]
935,2017-04-09,[0]
936,2017-04-10,[0]
937,2017-04-11,[0]
938,2017-04-12,[0]
939,2017-04-13,[0]
940,2017-04-14,[0]
941,2017-04-15,[0]
942,2017-04-16,[0]
943,2017-04-17,[0]
944,2017-04-18,[0]
945,2017-04-19,[0]
946,2017-04-20,[0]
947,2017-04-21,[0]
948,2017-04-22,[0]
949,2017-04-23,[0]
950,2017-04-24,[0]
951,2017-04-25,[0]
952,2017-04-26,[0]
953,2017-04-27,[0]
954,2017-04-28,[0]
955,2017-04-29,[0]
956,2017-04-30,[0]
957,2017-05-01,[0]
958,2017-05-02,[0]
959,2017-05-03,[0]
960,2017-05-04,[0]
961,2017-05-05,[0]
962,2017-05-06,[0]
963,2017-05-07,[0]
964,2017-05-08,[0]
965,2017-05-09,[0]
966,2017-05-10,[0]
967,2017-05-11,[0]
968,2017-05-12,[0]
969,2017-05-13,[0]
970,2017-05-14,[0]
971,2017-05-15,[0]
972,2017-05-16,[0]
973,2017-05-17,[0]
974,2017-05-18,[0]
975,2017-05-19,[0]
976,2017-05-20,[0]
977,2017-05-21,[0]
978,2017-05-22,[0]
979,2017-05-23,[0]
980,2017-05-24,[0]
981,2017-05-25,[0]
982,2017-05-26,[0]
983,2017-05-27,[0]
984,2017-05-28,[0]
985,2017-05-29,[0]
986,2017-05-30,[0]
987,2017-05-31,[0]
988,2017-06-01,[0]
989,2017-06-02,[0]
990,2017-06-03,[0]
991,2017-06-04,[0]
992,2017-06-05,[0]
993,2017-06-06,[0]
994,2017-06-07,[0]
995,2017-06-08,[0]
996,2017-06-09,[0]
997,2017-06-10,[0]
998,2017-06-11,[0]
999,2017-06-12,[0]
1000,2017-06-13,[0]
1001,2017-06-14,[0]
1002,2017-06-15,[0]
1003,2017-06-16,[0]
1004,2017-06-17,[0]
1005,2017-06-18,[0]
1006,2017-06-19,[0]
1007,2017-06-20,[0]
1008,2017-06-21,[0]
1009,2017-06-22,[0]
1010,2017-06-23,[0]
1011,2017-06-24,[0]
1012,2017-06-25,[0]
1013,2017-06-26,[0]
1014,2017-06-27,[0]
1015,2017-06-28,[0]
1016,2017-06-29,[0]
1017,2017-06-30,[0]
1018,2017-07-01,[0]
1019,2017-07-02,[0]
1020,2017-07-03,[0]
1021,2017-07-04,[0]
1022,2017-07-05,[0]
1023,2017-07-06,[0]
1024,2017-07-07,[0]
1025,2017-07-08,[0]
1026,2017-07-09,[0]
1027,2017-07-10,[0]
1028,2017-07-11,[0]
1029,2017-07-12,[0]
1030,2017-07-13,[0]
1031,2017-07-14,[0]
1032,2017-07-15,[0]
1033,2017-07-16,[0]
1034,2017-07-17,[0]
1035,2017-07-18,[0]
1036,2017-07-19,[0]
1037,2017-07-20,[0]
1038,2017-07-21,[0]
1039,2017-07-22,[0]
1040,2017-07-23,[0]
1041,2017-07-24,[0]
1042,2017-07-25,[0]
1043,2017-07-26,[0]
1044,2017-07-27,[0]
1045,2017-07-28,[0]
1046,2017-07-29,[0]
1047,2017-07-30,[0]
1048,2017-07-31,[0]
1049,2017-08-01,[0]
1050,2017-08-02,[0]
1051,2017-08-03,[0]
1052,2017-08-04,[0]
1053,2017-08-05,[0]
1054,2017-08-06,[0]
1055,2017-08-07,[0]
1056,2017-08-08,[0]
1057,2017-08-09,[0]
1058,2017-08-10,[0]
1059,2017-08-11,[0]
1060,2017-08-12,[0]
1061,2017-08-13,[0]
1062,2017-08-14,[0]
1063,2017-08-15,[0]
1064,2017-08-16,[0]
